Xa,Ya,Za,Xgr,Ygr,Zgr,Xma,Yma,Zma,Temp
Initialising
-63.48,-33.69,1058.11,-10.37,-1.02,3.92,17.4,17.25,384.45,31.05
-79.59,-107.42,1059.57,-9.76,8.45,9.95,18.45,16.8,385.8,30.86
-75.68,-51.76,1024.41,1.74,-0.63,13.12,19.2,17.55,384.75,30.81
-20.51,-34.67,1019.04,0.56,-8.28,18.12,21.0,16.5,386.4,31.05
-7.81,-65.92,1003.42,-2.96,4.12,2.11,19.35,16.2,385.35,30.67
19.04,-48.34,1011.23,-3.37,-5.79,-2.11,18.0,15.15,384.3,30.81
13.67,-78.61,1019.53,4.69,4.01,-11.49,19.35,18.0,384.45,30.86
2.93,-55.18,1037.11,1.08,1.47,-2.76,18.0,16.8,385.8,30.67
-27.34,-48.34,1013.18,0.18,5.52,-8.65,19.65,17.1,384.3,30.62
-12.21,-55.18,1044.43,1.86,4.44,-11.37,19.05,18.0,384.9,30.67
-42.48,-92.29,1020.02,4.79,5.11,-12.29,19.35,17.7,384.15,30.67
-86.43,-90.33,1016.11,5.82,4.89,-6.87,21.6,18.3,384.75,30.81
-57.62,-70.8,1092.77,2.83,-7.16,-14.38,19.8,19.2,384.15,30.67
-8.3,45.9,1052.25,-0.97,-8.46,-6.89,20.4,18.6,385.05,30.86
-24.9,-2.44,1002.93,-5.76,-1.67,-9.28,18.6,19.2,384.45,30.86
-17.58,30.27,974.61,-9.28,-5.72,-13.04,21.3,18.3,385.8,30.81
12.21,28.81,1051.27,6.4,-0.97,-16.11,18.75,18.6,384.0,30.86
-31.25,-14.65,1028.32,2.88,7.53,-3.53,19.2,19.05,383.55,31.0
-53.22,-7.81,1014.16,-8.44,8.08,-5.94,19.95,18.6,383.55,30.95
-29.79,8.79,1021.97,-8.65,-8.42,0.73,19.8,19.2,383.4,30.95
Destination:,0,1.3
Initialising
30.67
152.83,6.35,992.68,-26.77,34.52,14.62,10.65,15.6,381.6,30.81
50.29,-93.75,955.57,-0.6,-15.18,18.75,16.35,21.3,382.8,31.05
-32.23,75.68,1032.23,0.79,0.94,1.63,19.2,24.0,384.75,30.95
-41.5,90.33,1017.09,-3.51,5.14,-0.18,21.6,23.55,386.25,30.86
-39.06,80.08,1038.57,-1.89,2.7,-1.82,22.05,22.8,383.1,31.0
-48.83,97.17,1018.55,-4.88,2.02,0.01,21.9,23.85,383.7,30.67
-21.0,48.34,1020.51,-2.88,1.73,2.83,22.5,22.8,384.75,30.62
-28.32,50.29,1022.46,-3.7,1.8,0.56,21.3,23.25,384.0,30.62
-39.55,49.8,1022.46,0.27,3.2,-0.94,21.0,24.15,384.9,30.62
Start
-25.88,64.94,969.24,-8.08,-3.71,3.8,22.35,20.4,385.35,30.95
-46.39,68.85,1037.11,-8.02,-1.29,1.82,21.3,21.0,385.5,30.81
-20.02,66.41,1000.49,-5.85,1.58,-0.36,20.25,19.95,385.35,30.86
-42.48,106.45,1009.28,2.56,-1.96,-2.71,18.75,21.0,384.75,30.81
-18.55,19.04,1036.13,-7.76,3.35,1.27,19.95,18.6,384.3,30.95
-44.92,91.8,1012.21,10.92,7.79,1.08,18.75,20.55,385.8,30.95
-29.3,138.18,984.37,17.05,2.76,2.08,19.95,21.0,385.5,30.86
-61.04,123.05,1021.97,13.24,5.24,8.14,20.25,22.65,385.65,31.05
-64.45,144.53,1043.46,5.85,-2.57,10.23,20.25,21.45,383.4,30.86
-41.99,54.69,1020.51,-1.67,8.59,11.09,19.65,22.5,384.75,31.0
-6.84,-41.02,1023.44,-10.47,7.09,-0.03,19.95,22.8,385.5,30.95
-7.81,57.62,972.66,-3.47,8.4,-7.52,20.4,22.05,385.5,30.95
-62.5,103.52,1008.79,-1.21,-0.26,8.48,20.85,22.8,385.5,30.71
-27.83,91.31,983.4,-5.18,-11.24,5.26,21.3,21.75,385.8,30.95
3.91,107.91,1031.74,1.96,4.09,10.92,18.15,21.15,384.9,30.95
-63.48,137.21,1149.9,-2.67,5.85,22.23,19.95,24.0,385.05,30.71
-79.59,-141.6,1022.46,-1.81,-5.95,25.56,19.8,21.9,386.4,30.62
-112.3,93.26,969.24,-7.2,-8.85,11.52,17.4,19.95,384.45,30.81
-56.64,41.99,1004.88,-2.74,1.64,14.34,19.2,21.75,383.55,30.71
-88.87,103.52,973.63,-0.31,0.68,14.95,17.7,20.7,385.65,30.71
-41.5,51.27,1007.32,6.76,0.7,13.11,16.2,20.7,385.65,30.95
-66.41,139.65,1004.88,10.74,-1.4,11.76,17.55,22.05,383.55,30.86
-102.54,87.4,1084.47,17.02,3.02,21.27,16.5,22.65,385.35,31.14
-56.15,29.3,1093.26,-8.68,3.37,23.37,17.1,23.25,385.05,31.0
5.37,48.83,987.79,4.35,13.44,30.79,17.7,23.4,384.45,31.0
-45.41,-38.57,1014.65,-8.32,14.59,32.21,17.55,20.1,385.5,30.95
-51.76,160.16,956.05,-13.52,-4.9,30.14,17.7,22.65,386.85,31.05
-28.81,68.85,1022.46,-1.31,11.2,38.03,17.7,21.45,384.45,30.81
-24.9,16.6,1064.94,8.97,3.15,34.55,17.7,19.95,385.35,31.05
